Название,Страна,Жанр,Год выпуска,Возрастное ограничение,Продолжительность,Рейтинг
Грязные танцы,США,Драмы,1987,12,100,9.1
В гостях у Элис,США,Мелодрамы,2017,16,96,7.6
Эрин Брокович,США,Драмы,2000,16,131,8.7
Банды Нью-Йорка,США,Криминал,2002,18,166,8.3
Лед,Россия,Мелодрамы,2018,12,117,8.4
Дорогой Джон,США,Драмы,2010,12,107,7.5
Семь жизней,США,Драмы,2008,16,123,8.6
Пункт назначения: Аквапарк,Канада,Ужасы,2019,16,68,3.9
Апгрейд,Австралия,Триллеры,2018,16,96,7.6
Танки,Россия,Приключения,2018,12,89,7.7
Царь скорпионов,США,Фэнтези,2002,12,91,7.5
Остров на троих,США,Триллеры,2005,16,91,6.2
Бен-Гур,США,Боевики,2016,16,118,8.0
Темные тайны,США,Триллеры,2015,18,107,7.5
Птичка на проводе,США,Боевики,1990,16,110,8.1
Конан-варвар,США,Приключения,2011,16,107,7.0
Доспехи бога: В поисках сокровищ,Китай,Фэнтези,2017,12,102,7.6
Давайте потанцуем,США,Драмы,2004,12,101,8.6
Ночь принадлежит нам,Франция,Мелодрамы,2021,16,88,5.5
Черная смерть,Германия,Детективы,2010,18,97,6.7
Реквием по мечте,США,Драмы,2000,18,101,8.3
Дело Коллини,Германия,Триллеры,2019,16,117,8.6
Легенда о Коловрате,Россия,Исторические,2017,12,112,7.7
Солнцестояние,США,Ужасы,2019,16,146,4.8
Кухня в Париже,Россия,Комедии,2014,12,102,8.4
Свингеры,Россия,Комедии,2022,18,92,7.3
Молодость,Италия,Драмы,2015,16,118,5.9
Друг в океане,Австралия,Семейные,2022,12,102,7.8
Марафон желаний,Россия,Комедии,2020,16,89,7.2
Отзвуки прошлого,США,Вестерн,2023,16,94,6.9
Астерикс на Олимпийских играх,Франция,Комедии,2008,12,112,7.9
После нашей эры,США,Фантастика,2013,12,100,7.8
Что гложет Гилберта Грейпа?,США,Драмы,1993,12,112,7.9
Три икса: Мировое господство,Китай,Боевики,2017,16,102,7.8
Лед 2,Россия,Мелодрамы,2020,6,130,8.6
Обыкновенная страсть,Франция,Мелодрамы,2020,16,98,5.5
Дети шпионов 4,США,Фантастика,2011,6,85,8.0
Балканский рубеж,Россия,Боевики,2019,16,150,8.6
Tomb Raider: Лара Крофт,Великобритания,Приключения,2018,16,112,7.4
Опасная игра Слоун,Франция,Триллеры,2016,18,127,8.5
Другой мир,США,Фэнтези,2003,16,121,7.7
14+,Россия,Мелодрамы,2015,16,106,7.0
Салют-7,Россия,Приключения,2017,12,110,8.5
Игра Ганнибала,Канада,Триллеры,2018,16,95,7.2
Инферно,США,Боевики,2016,16,121,8.1
Туннель: Опасно для жизни,Норвегия,Триллеры,2019,16,99,7.4
Джунгли зовут! В поисках Марсупилами,Франция,Комедии,2012,12,99,8.2
Месть Гарри Брауна,Великобритания,Боевики,2009,18,101,6.6
Миа и белый лев,Франция,Приключения,2018,6,98,8.7
Невозможное,Испания,Драмы,2012,16,113,8.4
От кутюр,Франция,Драмы,2021,12,100,7.6
Мегаудав,США,Ужасы,2021,16,85,2.6
Облачный атлас,США,Фантастика,2012,18,164,7.9
Курорт,США,Ужасы,2021,16,75,3.5
Моральные ценности семейки Аддамс,США,Фэнтези,1993,12,89,8.2
Виола в бутсах,США,Комедии,2006,12,105,8.1
Другой мир 2: Эволюция,США,Фантастика,2005,16,106,7.6
Глубоководный горизонт,США,Катастрофы,2016,16,107,8.0
Белые росы,СССР,Советские,1984,12,83,8.6
Медвежатник,США,Триллеры,2001,16,118,7.9
Пляжная вечеринка,Нидерланды,Мелодрамы,2022,18,100,6.8
Игра на время,США,Боевики,2017,18,94,4.5
Операция «Алтын Адам»,Казахстан,Комедии,2022,12,76,7.6
Папа-досвидос,США,Комедии,2012,16,109,7.9
Крид 2,США,Спорт,2018,16,124,8.3
Весна на Заречной улице (цветная версия),СССР,Советские,1956,12,90,8.4
Самый пьяный округ в мире,США,Криминал,2012,18,110,8.2
После пробуждения,Италия,Мелодрамы,2021,18,98,7.0
Прощаться не будем,Россия,Военные,2018,6,115,7.2
Патрик,Великобритания,Комедии,2018,12,94,8.1
Великолепная семерка,США,Боевики,2016,16,132,8.3
Нефутбол,Россия,Комедии,2021,12,90,7.9
Эскобар,Испания,Биография,2017,16,105,7.4
Американский пирог 2,США,Комедии,2001,18,104,8.1
Дом с паранормальными явлениями,США,Комедии,2013,16,82,7.1
Заколдованная Элла,США,Семейные,2004,12,92,8.2
