Название,Страна,Жанр,Год выпуска,Возрастное ограничение,Продолжительность,Рейтинг
Первая ведьма,США,Ужасы,2019,16,91,6.4
Охота,США,Боевики,2020,18,89,6.5
Всё и сразу,Россия,Комедии,2014,16,91,7.1
Брюс Ли: Рождение дракона,Китай,Боевики,2016,16,91,7.7
Куб,Канада,Фантастика,1997,16,90,6.7
Легенда,Великобритания,Криминал,2015,18,131,8.0
Охотник за разумом. Схватка,США,Драмы,2021,18,100,7.1
Первый клон,Южная Корея,Боевики,2021,16,109,7.1
Прощай,Испания,Триллеры,2019,16,110,6.7
Тихоокеанский рубеж 2,Великобритания,Фантастика,2018,12,110,7.6
Мафия: Смертельная игра,США,Криминал,2021,18,92,4.4
Амундсен,Норвегия,Биография,2019,12,119,7.3
Пятнадцать минут войны,Франция,Триллеры,2019,16,98,7.4
Москва – Лопушки,Россия,Мелодрамы,2014,12,88,7.2
Восстание роботов,США,Боевики,2020,16,87,4.5
Выбивая долги,США,Боевики,2020,16,91,6.6
В погоне за ветром,Австралия,Спорт,2019,12,94,8.8
Скорость: Автобус 657,США,Боевики,2015,18,92,8.0
Мамы 3,Россия,Комедии,2014,12,88,7.6
Французский батя,Франция,Драмы,2020,12,101,7.5
Панчер,Россия,Драмы,2022,16,142,7.0
Приходи на меня посмотреть,Россия,Мелодрамы,2000,16,101,8.6
Мертвые 2: Индия,Великобритания,Ужасы,2013,16,93,5.3
Шугалей,Россия,Боевики,2020,16,101,7.3
Тобол,Россия,Исторические,2018,16,108,7.3
Доска Уиджи: Голоса,США,Ужасы,2020,16,96,4.7
Грабители во благо,США,Комедии,2021,16,86,7.0
Небеса подождут,Германия,Драмы,2020,16,97,8.0
Неуловимые,Россия,Приключения,2015,16,89,7.3
Навстречу шторму (Amediateka),Великобритания,Драмы,2009,18,94,9.0
Голограмма для короля,Великобритания,Комедии,2016,16,93,7.7
Тройной форсаж: Токийский дрифт,США,Боевики,2006,12,104,8.5
Проклятый дом 5,США,Ужасы,2021,18,77,3.9
Палата,США,Ужасы,2010,16,88,6.4
Доживем до понедельника,СССР,Мелодрамы,1968,0,100,8.6
Три семьи,Италия,Драмы,2021,16,115,7.0
Часы,США,Драмы,2002,18,106,6.9
Корпоративка,Великобритания,Ужасы,2006,16,95,5.8
Райская бухта,США,Триллеры,2021,16,103,5.8
Ростовские амазонки. Двухсерийные убийцы,Россия,Документальные,2020,16,45,7.3
Невероятное путешествие мистера Спивета,Франция,Драмы,2013,6,105,8.4
Гринч – похититель Рождества,США,Фэнтези,2000,6,104,8.1
Влюбленные,Франция,Мелодрамы,2012,18,100,5.7
Лохматый детектив,США,Семейные,2018,12,82,6.6
Удивительное путешествие доктора Дулиттла,США,Фэнтези,2020,12,101,8.5
Жена,Великобритания,Драмы,2017,16,100,7.6
Клуб миллиардеров,США,Криминал,2018,16,108,6.6
Избави нас от лукавого,Южная Корея,Криминал,2020,16,107,7.6
Орда,Россия,Исторические,2011,16,124,6.1
Дневник воспоминаний,Южная Корея,Мелодрамы,2021,16,96,6.8
Женщины в черном,США,Ужасы,2021,16,81,5.2
Привидение,США,Фэнтези,2018,18,93,7.6
Голос,США,Драмы,2014,12,102,8.5
Место встречи,Италия,Драмы,2017,16,105,7.7
"Там, где есть счастье для меня",Россия,Мелодрамы,2013,12,88,7.0
Проклятие матери: Прятки на выживание,Канада,Триллеры,2021,16,77,5.8
Училка,Россия,Драмы,2015,12,134,8.0
Месть волчицы,США,Ужасы,2020,18,91,4.8
Алиса: Волнение,Россия,Документальные,2020,16,53,7.8
Сценарий для Голливуда,Россия,Комедии,2022,16,63,6.9
Амайа. Дитя вампира,Испания,Фэнтези,2020,16,101,5.8
Вуду,Великобритания,Ужасы,2020,16,89,5.4
Экстремалы,Великобритания,Боевики,2002,12,93,7.3
Бетховен,США,Для детей,1992,6,86,8.7
Паранормальное явление: Ближайший родич,США,Ужасы,2021,18,94,5.5
Отчаянные аферистки,США,Комедии,2021,18,110,7.8
Изгоняющий дьявола: Инсомния,Австралия,Ужасы,2019,16,88,5.4
Поли,Франция,Для детей,2020,6,102,8.3
Мой друг мистер Персиваль,Австралия,Приключения,2019,6,99,8.7
Каникулы президента,Россия,Комедии,2018,16,94,6.4
Часовщик,Россия,Драмы,2012,16,87,5.9
Гороскоп на удачу,Россия,Комедии,2015,12,92,7.4
Один путь,США,Боевики,2022,18,96,5.9
Джим Пуговка и чертова дюжина,Германия,Фэнтези,2020,6,109,8.0
Другой,Ирландия,Ужасы,2019,16,86,5.5
Шкатулка Дьявола,Великобритания,Ужасы,2019,16,83,5.6
Четыре хороших дня,США,Драмы,2020,18,100,7.8
Операция «Колибри»,Канада,Триллеры,2018,16,106,7.2
Ад по соседству,США,Драмы,2019,16,86,5.7
Киллер,США,Триллеры,2018,16,112,6.4
Жги!,Россия,Драмы,2017,12,98,7.4
Черное и синее,США,Криминал,2019,18,103,7.7
Кошачьи миры Луиса Уэйна,Великобритания,Биография,2021,16,106,8.1
Собачья жизнь 2,США,Семейные,2019,12,108,9.3
Элитный отряд,Нидерланды,Триллеры,2020,18,140,5.5
Приключения экспоната,Россия,Приключения,2021,12,92,7.4
Дорога хаоса,США,Ужасы,2019,16,77,3.2
Рыцари справедливости,Дания,Комедии,2020,18,111,7.7
Доктор «Т» и его женщины,США,Драмы,2000,18,116,6.2
Прикончи меня,США,Ужасы,2017,16,83,4.9
Ярослав. Тысячу лет назад,Россия,Драмы,2010,16,103,7.3
Приворот. Черное венчание,Россия,Ужасы,2021,16,92,5.5
После тебя,Россия,Драмы,2016,16,115,7.6
Любовь с ограничениями,Россия,Комедии,2016,16,98,7.9
Обратный отсчет,Южная Корея,Триллеры,2021,16,94,7.5
Ага,Казахстан,Боевики,2021,16,85,7.1
Спящая красавица. Легенда двух королевств: Ледовое шоу,Россия,спектакли,2020,0,95,7.9
11-11-11,США,Ужасы,2011,16,92,5.4
Смертельное дельце,США,Триллеры,2021,16,90,5.7
Офелия,Великобритания,Драмы,2018,16,101,7.5
Овердрайв,Франция,Боевики,2017,16,89,7.4
Дикий пёс,США,Боевики,2017,18,94,6.3
Мясники,Канада,Ужасы,2020,18,92,5.2
Любовь и секс на Ибице,Нидерланды,Мелодрамы,2013,16,112,6.0
Ёлки Последние,Россия,Комедии,2018,6,92,8.1
Школа рока,США,Комедии,2003,12,104,8.8
Простые сложности,США,Драмы,2009,16,120,8.4
Географ глобус пропил,Россия,Драмы,2013,16,119,7.7
Гнездо,Великобритания,Драмы,2020,18,103,5.9
Игра,Россия,Драмы,2018,16,103,6.4
Поезд вне расписания,СССР,Советские,1986,12,75,7.5
Вооруженный ответ,США,Боевики,2017,16,93,5.2
Газетчик,США,Триллеры,2012,18,102,6.5
Супергерои,Италия,Мелодрамы,2021,16,121,8.0
Двойной форсаж,США,Боевики,2003,12,107,8.3
Команда мечты,Россия,Спорт,2019,6,81,7.7
Ловушка,Россия,Криминал,2021,16,84,6.1
Виртуоз,США,Боевики,2021,18,108,5.7
Оно приходит ночью,США,Ужасы,2017,16,87,4.7
Выжившая,Франция,Триллеры,2017,18,108,5.7
Путешествие Гектора в поисках счастья,Великобритания,Комедии,2014,16,114,8.0
Средь бела дня,США,Боевики,2011,16,89,6.9
Дедушка,Россия,Мелодрамы,2016,12,104,8.0
Чудаки,США,Документальные,2002,18,81,8.2
Небеса обетованные,СССР,Драмы,1991,16,117,8.3
После Янга,США,Фантастика,2021,16,95,5.5
Американский убийца,США,Боевики,2021,16,100,5.2
Не буди в ней зверя,Великобритания,Триллеры,2019,16,96,6.2
"Гори, гори ясно",США,Ужасы,2019,18,90,6.4
"Ромашка, кактус, маргаритка",Россия,Мелодрамы,2009,12,89,6.7
Пока идёт война,Испания,Исторические,2019,16,103,7.1
Тибра,Россия,Триллеры,2022,16,84,5.8
Венецияфрения,Испания,Ужасы,2021,16,99,6.0
Мой друг Дельфин Эхо,США,Приключения,2019,6,89,8.1
Вальгалла: Рагнарёк,Дания,Фэнтези,2019,12,100,5.8
Хакеры,США,Триллеры,1995,12,105,7.9
Любовный напиток №9,США,Комедии,1992,16,92,6.9
Легенда о пианисте,Италия,Драмы,1998,16,120,8.3
Безумная дорога,Австралия,Ужасы,2021,18,87,5.5
Восход,Австралия,Драмы,2014,12,102,6.7
Преступный квест,США,Боевики,2021,16,93,4.9
Марионетка,Нидерланды,Триллеры,2020,18,107,6.5
Русалка. Озеро мертвых,Россия,Ужасы,2018,16,83,5.5
Форсаж 4,США,Криминал,2009,16,106,8.8
Полночь на злаковом поле,США,Триллеры,2021,16,98,6.7
Грань времени,США,Фантастика,2016,16,99,5.2
